s2_area_pe,s2_width_ns,has_s1
90.84,908.68,False
91.27,1012.76,False
91.68,1042.39,False
92.09,849.97,False
92.31,922.29,False
92.86,1005.47,False
93.11,992.08,False
93.43,1112.14,False
93.51,883.28,False
93.71,1034.94,False
94.23,994.75,False
95.23,990.7,False
96.14,951.82,False
96.29,902.6,False
96.29,1012.97,False
96.34,1045.28,False
97.09,968.35,False
97.12,1134.45,False
97.42,931.72,False
97.86,1115.44,False
98.04,1000.9,False
98.37,1103.93,False
99.3,1008.67,False
99.56,1067.26,False
101.07,999.38,False
101.46,979.19,False
102.02,1057.48,False
102.08,977.05,False
102.22,863.23,False
102.23,847.59,False
102.38,884.17,False
102.42,925.77,False
102.58,1055.95,False
102.6,896.4,False
103.07,1021.93,False
103.56,947.23,False
103.78,970.98,False
103.81,1104.25,False
103.92,1107.19,False
104.34,848.79,False
104.73,1057.02,False
104.84,1093.98,False
105.35,954.29,False
105.61,1029.58,False
105.76,926.02,False
105.92,1045.27,False
106.12,958.02,False
106.23,986.93,False
106.88,1075.14,False
107.49,871.08,False
108.02,1077.76,False
108.03,967.0,False
108.13,1042.22,False
108.29,1065.44,False
109.06,965.91,False
109.14,1053.16,False
109.17,969.71,False
109.44,958.82,False
109.62,914.9,False
110.39,1015.76,False
110.4,1127.53,False
110.63,1085.1,False
110.63,886.02,False
110.95,1018.83,False
111.03,862.33,False
111.69,965.36,False
112.05,887.11,False
112.05,872.18,False
112.18,1031.73,False
112.54,1123.14,False
112.98,897.76,False
113.23,1106.37,False
113.58,843.51,False
113.6,855.53,False
114.1,1090.38,False
114.27,1009.8,False
114.58,865.46,False
114.99,866.81,False
115.35,910.92,False
115.39,1046.17,False
115.52,1029.1,False
115.57,870.05,False
116.04,1119.66,False
116.08,1004.0,False
116.46,963.25,False
116.72,1130.09,False
116.87,925.73,False
117.77,1068.42,False
117.78,1089.93,False
118.15,839.07,False
118.24,1115.11,False
119.32,949.87,False
119.64,979.85,False
120.32,890.77,False
120.41,1097.09,False
120.45,1132.18,False
121.24,996.72,False
121.91,1037.66,False
122.04,1108.32,False
122.57,918.22,False
123.09,963.61,False
123.5,984.62,False
124.3,1000.14,False
124.97,1107.12,False
125.16,1071.61,False
125.2,1076.2,False
127.69,989.32,False
127.82,1116.24,False
128.89,1015.19,False
129.71,972.75,False
129.85,1099.97,False
131.6,990.35,False
131.76,886.65,False
132.33,1078.72,False
132.8,1025.08,False
133.08,871.29,False
134.61,1069.93,True
135.69,1108.94,False
136.03,1074.43,False
142.67,1100.85,False
143.0,1056.23,False
143.68,1008.8,False
143.98,1051.13,False
144.31,999.68,False
148.7,836.31,False
161.67,1118.42,False
171.04,1058.64,False
171.4,1127.97,False
177.28,1090.62,False
183.32,931.97,False
186.96,874.52,False
188.04,992.77,False
189.47,866.16,False
200.23,915.98,False
208.54,926.7,False
218.6,951.69,False
221.7,999.55,False
227.75,907.58,False
228.15,1134.31,False
239.58,1018.7,False
258.63,1033.12,False
268.57,941.76,False
299.15,1029.86,False
433.14,1055.49,False
580.06,1129.65,False
645.81,1013.17,False
1541.43,1047.59,True
1625.08,1086.44,True
1635.23,898.57,False
1661.83,856.04,False
1704.76,1054.31,False
1763.24,897.48,False
1806.63,930.26,False
1820.79,981.6,True
1896.34,1043.92,False
1989.33,1024.11,True
2114.89,877.33,True
2253.22,1068.5,True
2412.61,902.39,True
2486.11,976.68,True
2495.86,1115.74,True
2509.38,911.53,True
2614.45,861.06,True
2674.57,1084.79,True
2748.56,1032.68,True
2762.42,970.41,True
2929.03,1068.61,True
2936.35,894.08,True
2938.41,837.49,True
2993.9,839.78,True
