s2_area_pe,s2_width_ns,has_s1
91.41,919.05,False
91.79,994.1,False
92.03,1089.54,False
92.81,1011.73,False
94.15,1055.32,False
96.3,1112.06,False
98.12,1111.25,False
98.4,1099.95,False
99.44,926.19,False
99.45,942.26,False
99.95,1082.28,False
100.58,1115.12,False
100.61,857.27,False
101.02,1006.91,False
101.97,1131.0,False
103.35,1061.34,False
103.39,941.68,False
103.94,967.36,False
104.15,989.85,False
104.54,960.45,False
105.37,1023.78,False
105.61,876.97,False
106.17,980.08,False
106.73,1039.38,False
107.67,846.98,False
107.86,1120.23,False
109.55,1069.29,False
111.08,1078.75,False
112.04,1126.63,False
112.47,899.53,False
112.95,1093.98,False
113.66,1006.01,False
113.72,905.73,False
115.95,843.37,False
116.36,933.12,False
117.97,967.63,False
118.64,836.29,False
119.3,835.56,False
119.75,1116.38,False
120.16,884.15,False
121.03,960.44,False
121.59,1046.4,False
122.52,1014.63,False
123.65,1132.63,False
123.76,1125.48,False
123.81,1050.24,False
127.52,1118.8,False
128.31,1071.63,False
128.46,908.67,False
128.95,842.21,False
129.11,931.81,False
130.88,961.65,False
134.45,1051.57,False
137.54,951.78,False
146.27,992.64,False
162.44,1080.9,False
191.78,999.89,False
281.55,1076.95,False
296.11,1063.91,False
607.86,998.65,False
641.14,1059.97,False
1307.05,890.06,False
1441.46,1049.13,False
1625.06,852.42,False
2158.26,927.27,False
2367.23,1054.23,True
2496.69,1034.48,True
2644.19,1122.78,True
2678.64,970.64,True
2727.11,1084.67,True
2769.23,1001.65,True
2886.67,1132.25,True
2991.04,993.96,True
