mass_gev,limit_cm2,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
1.7,1.0358285127355215e-35,150.0,219.13842913037928,11,20.788630861040538,5.2039256335828545,3.170834228574965,0.5401607872964905
1.81,3.017726894173574e-38,150.0,219.13842913037928,11,20.67968220809685,5.118912547981893,3.170834228574965,0.5401607872964905
2.0,1.3902882783824788e-39,150.0,223.03406565314026,12,22.058427318487063,5.3470716269585274,3.2762525143309715,0.5466390905236685
2.17,2.6872400075186953e-40,150.0,223.03406565314026,12,21.835591088293796,5.173191592643581,3.2762525143309715,0.5466390905236685
2.35,7.340762669786565e-41,150.0,226.9989551315681,12,21.520269086878535,4.97674959692484,3.33495995734747,0.5428436823813214
2.56,2.5748100399134073e-41,150.0,231.03432867945907,14,24.212437914984744,5.436124531325036,3.640355864682883,0.591554820796126
2.77,1.0057738612478121e-41,150.0,231.03432867945907,14,23.910853168918184,5.200796703577117,3.640355864682883,0.591554820796126
3.0,4.7128078702704014e-42,151.36056733252408,235.14143929619064,14,23.665399632287958,5.02015102277848,3.652517169836142,0.5901616061268069
3.26,2.1164456583157436e-42,151.36056733252408,235.14143929619064,14,23.330017125252514,4.758450662018577,3.652517169836142,0.5901616061268069
3.3,2.386566653674828e-42,162.41396726487562,239.32156225578265,13,22.615323893523527,4.691277705680665,2.9683432010305126,0.4787880180421788
3.33,2.1951095670944297e-42,162.41396726487562,239.32156225578265,13,22.576262232404808,4.660797729557252,2.9683432010305126,0.4787880180421788
3.55,1.2460035556997337e-42,162.41396726487562,252.3131004164846,14,23.594325519710186,4.736010203007334,3.2408479255810336,0.49761578307235904
3.6,1.1067981396642212e-42,162.41396726487562,252.3131004164846,14,23.532391856828628,4.687683109079402,3.2408479255810336,0.49761578307235904
3.65,1.063254303061022e-42,165.30120974988552,252.3131004164846,14,23.709149828174453,4.704945232487685,3.0490641849257267,0.4686289895739629
3.7,9.504583342161374e-43,165.30120974988552,252.3131004164846,14,23.647934836655924,4.657178920803993,3.0490641849257267,0.4686289895739629
4.0,5.071876962313909e-43,165.30120974988552,266.0098824431806,15,24.14540166037965,4.572359496401814,3.7342708054194262,0.5677379459585096
4.2,3.725060759911207e-43,165.30120974988552,270.7387555010616,16,25.44640001486483,4.690945917678677,3.7272835762603256,0.5543403529589045
4.5,2.344174355430176e-43,165.30120974988552,270.7387555010616,16,25.13123581074823,4.4450219825128965,3.7272835762603256,0.5543403529589045
4.7,1.7891623221903959e-43,165.30120974988552,270.7387555010616,16,24.93954571964937,4.295445409667464,3.7272835762603256,0.5543403529589045
5.0,1.2520804986396484e-43,165.30120974988552,270.7387555010616,16,24.676605272675197,4.0902718887233895,3.7272835762603256,0.5543403529589045
5.5,7.669007204190676e-44,165.30120974988552,270.7387555010616,16,24.295596338466414,3.792969037669658,3.7272835762603256,0.5543403529589045
6.0,5.198605144740189e-44,165.30120974988552,270.7387555010616,16,23.974936895333105,3.542757144715474,3.7272835762603256,0.5543403529589045
7.0,2.8371601948833093e-44,165.30120974988552,275.5516940086626,16,23.21510024842919,3.1171172657145485,3.9898953757323463,0.5919936219785195
7.6,2.2216348904697773e-44,165.30120974988552,275.5516940086626,16,22.985650311820674,2.9380765288628776,3.9898953757323463,0.5919936219785195
7.65,9.813576345186393e-45,193.70906508268575,475.81206778533954,11,14.067456796626102,1.8220799295156052,5.906996025927549,0.8124848972260893
7.7,9.586197823416427e-45,193.70906508268575,475.81206778533954,11,14.053035729654729,1.8108271111670526,5.906996025927549,0.8124848972260893
