mass_gev,limit_cm2_mev4,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
2.0,9.56279859666541e-36,150.0,223.03406565314026,12,22.092381300593086,5.37356605997152,3.2762525143309715,0.5466390905236685
2.2,1.6895187266400203e-36,150.0,223.03406565314026,12,21.878496305924273,5.206670711848778,3.2762525143309715,0.5466390905236685
2.4,5.0369089990350555e-37,150.0,226.9989551315681,12,21.594906470204034,5.034989456585724,3.33495995734747,0.5428436823813214
2.6,2.035229044174045e-37,150.0,226.9989551315681,12,21.395483825681197,4.879379140243835,3.33495995734747,0.5428436823813214
2.8,1.117639745731119e-37,150.0,231.03432867945907,14,24.1681747513411,5.401585801215616,3.640355864682883,0.591554820796126
3.0,6.207737137686155e-38,150.0,231.03432867945907,14,23.964889560847425,5.24296152423829,3.640355864682883,0.591554820796126
3.1,4.727711484513055e-38,150.0,235.14143929619064,14,23.7538201027445,5.150960693878639,3.7346513950352684,0.5924364711788749
3.2,3.738113609546729e-38,150.0,235.14143929619064,14,23.6607562267186,5.078342565566069,3.7346513950352684,0.5924364711788749
3.3,3.0119866180070287e-38,150.0,235.14143929619064,14,23.5709484186009,5.008265160542148,3.7346513950352684,0.5924364711788749
3.4,2.7499124011503443e-38,151.36056733252408,235.14143929619064,14,23.65562829269675,5.0125264059827845,3.652517169836142,0.5901616061268069
3.6,1.9199098948321146e-38,151.36056733252408,235.14143929619064,14,23.48302363435435,4.877842275446797,3.652517169836142,0.5901616061268069
3.8,1.4081708744183606e-38,151.36056733252408,235.14143929619064,14,23.32325923811636,4.753177454667541,3.652517169836142,0.5901616061268069
3.825,1.3276448038447775e-38,151.36056733252408,239.32156225578265,14,23.144592885101684,4.713268372198106,3.793864316650836,0.6009503572702645
3.85,1.2816337075517613e-38,151.36056733252408,239.32156225578265,14,23.125705140516814,4.698530186788582,3.793864316650836,0.6009503572702645
3.875,1.667091188405686e-38,162.41396726487562,243.57599550287472,14,24.029910528055893,4.971615272065226,3.1052210124180046,0.49606925933348306
3.9,1.608793293291357e-38,162.41396726487562,243.57599550287472,14,24.00816527035502,4.954647357323818,3.1052210124180046,0.49606925933348306
4.0,1.4034779852310044e-38,162.41396726487562,243.57599550287472,14,23.923384958750262,4.888492928673322,3.1052210124180046,0.49606925933348306
4.4,8.420961226385122e-39,162.41396726487562,252.3131004164846,14,23.46258311335973,4.633211057118522,3.2408479255810336,0.49761578307235904
5.0,5.239617589438227e-39,165.30120974988552,266.0098824431806,15,24.125344003495822,4.556708423574866,3.7342708054194262,0.5677379459585096
5.4,4.18811870372989e-39,165.30120974988552,270.7387555010616,16,25.404811687545926,4.65849437344352,3.7272835762603256,0.5543403529589045
6.0,3.072645015866136e-39,165.30120974988552,270.7387555010616,16,25.092634435106653,4.414901169055675,3.7272835762603256,0.5543403529589045
7.0,2.1759359700285058e-39,165.30120974988552,270.7387555010616,16,24.689043912524202,4.099977810969072,3.7272835762603256,0.5543403529589045
8.0,1.7635693857724988e-39,165.30120974988552,270.7387555010616,16,24.390309643651317,3.866874222393654,3.7272835762603256,0.5543403529589045
9.0,1.5521084954994085e-39,165.30120974988552,270.7387555010616,16,24.164774295283834,3.6908880549766288,3.7272835762603256,0.5543403529589045
10.0,1.4394409089701344e-39,165.30120974988552,270.7387555010616,16,23.991537593592337,3.5557107383948523,3.7272835762603256,0.5543403529589045
12.0,1.3567230685161509e-39,165.30120974988552,270.7387555010616,16,23.74940198982063,3.366771322860047,3.7272835762603256,0.5543403529589045
12.5,1.3009728358089226e-39,165.30120974988552,275.5516940086626,16,23.43545740041684,3.289062865027215,3.9898953757323463,0.5919936219785195
13.0,1.3010138319543578e-39,165.30120974988552,275.5516940086626,16,23.394743842902454,3.2572939072973828,3.9898953757323463,0.5919936219785195
13.85,1.3088414426836432e-39,165.30120974988552,275.5516940086626,16,23.334475844120096,3.210266537972021,3.9898953757323463,0.5919936219785195
13.9,5.9229327220412015e-40,193.70906508268575,528.8729984193749,11,13.794473594844614,1.826825870982563,6.235608578700011,0.851146768980703
14.0,5.91514672019207e-40,193.70906508268575,528.8729984193749,11,13.788489076478458,1.8221561264892032,6.235608578700011,0.851146768980703
17.0,5.761258141323066e-40,193.70906508268575,547.8437465985029,11,13.463266425042898,1.688833494263141,6.423102924817796,0.8769994335357844
20.0,5.998064294408109e-40,193.70906508268575,557.5827965519259,11,13.39929328299336,1.623922845318526,6.392755957510407,0.8683117100911867
30.0,7.754817803315615e-40,197.15264233073208,567.4949781593724,11,13.4071745836119,1.5311156876131744,6.244847576228808,0.851855156192743
50.0,1.181829787683509e-39,197.15264233073208,567.4949781593724,11,13.3310859198874,1.4717433878398403,6.244847576228808,0.851855156192743
100.0,2.2759522504184344e-39,197.15264233073208,567.4949781593724,11,13.294224044037371,1.4429799132820558,6.244847576228808,0.851855156192743
