mass_gev,limit_cm2,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
2.0,2.09212213050542e-34,150.0,223.03406565314026,12,22.058505719566107,5.347132803645562,3.2762525143309715,0.5466390905236685
2.17,4.0461691621652755e-35,150.0,223.03406565314026,12,21.83577883557435,5.173338092625007,3.2762525143309715,0.5466390905236685
2.35,1.1060105366792194e-35,150.0,226.9989551315681,12,21.520608164760688,4.977014180802127,3.33495995734747,0.5428436823813214
2.56,3.8823509614457996e-36,150.0,231.03432867945907,14,24.213055311302526,5.436606288231571,3.640355864682883,0.591554820796126
2.75,1.6469501184855812e-36,150.0,231.03432867945907,14,23.93971847712432,5.223320423248024,3.640355864682883,0.591554820796126
2.8,1.3239431850314067e-36,150.0,235.14143929619064,14,23.756913047081984,5.1533741311687535,3.7346513950352684,0.5924364711788749
3.0,7.117598005666034e-37,151.36056733252408,235.14143929619064,14,23.666605630761083,5.021092068387216,3.652517169836142,0.5901616061268069
3.2,3.796400835477322e-37,151.36056733252408,235.14143929619064,14,23.405865705845237,4.817635623928778,3.652517169836142,0.5901616061268069
3.5,2.172030755510109e-37,162.41396726487562,247.90606005574375,14,23.70277415032298,4.786498320064111,3.204950241474269,0.5037394703757155
3.7,1.4393476222719628e-37,165.30120974988552,252.3131004164846,14,23.650465867844847,4.659153894934542,3.0490641849257267,0.4686289895739629
4.0,7.689159028741025e-38,165.30120974988552,266.0098824431806,15,24.14857372965324,4.574834675207625,3.7342708054194262,0.5677379459585096
4.2,5.651289618844164e-38,165.30120974988552,270.7387555010616,16,25.450181877535382,4.693896920800389,3.7272835762603256,0.5543403529589045
4.5,3.559848505575588e-38,165.30120974988552,270.7387555010616,16,25.135648823912035,4.448465474981281,3.7272835762603256,0.5543403529589045
4.7,2.7187291730331824e-38,165.30120974988552,270.7387555010616,16,24.94438410409818,4.299220821113161,3.7272835762603256,0.5543403529589045
5.0,1.9043413642594095e-38,165.30120974988552,270.7387555010616,16,24.68208014142545,4.094543951508413,3.7272835762603256,0.5543403529589045
5.2,1.5441973088116398e-38,165.30120974988552,270.7387555010616,16,24.522080390418896,3.9696954824274493,3.7272835762603256,0.5543403529589045
5.5,1.1680769123150385e-38,165.30120974988552,270.7387555010616,16,24.302102575225497,3.7980458811880964,3.7272835762603256,0.5543403529589045
5.7,9.898307863723614e-39,165.30120974988552,270.7387555010616,16,24.1676275820682,3.693114486484408,3.7272835762603256,0.5543403529589045
6.0,7.928477776019169e-39,165.30120974988552,270.7387555010616,16,23.982404058513385,3.5485838031044454,3.7272835762603256,0.5543403529589045
6.5,5.588391413029669e-39,165.30120974988552,275.5516940086626,16,23.452472554694747,3.302339860456321,3.9898953757323463,0.5919936219785195
7.0,4.3373786454842036e-39,165.30120974988552,275.5516940086626,16,23.22416072633656,3.124187194191071,3.9898953757323463,0.5919936219785195
7.3,3.812590253900835e-39,165.30120974988552,275.5516940086626,16,23.104180880077145,3.030566422709717,3.9898953757323463,0.5919936219785195
7.6,3.400527844259965e-39,165.30120974988552,275.5516940086626,16,22.995446948311145,2.945720884933953,3.9898953757323463,0.5919936219785195
7.65,1.507250259737999e-39,193.70906508268575,475.81206778533954,11,14.07520431141498,1.828125347427121,5.906996025927549,0.8124848972260893
7.7,1.4725188809095012e-39,193.70906508268575,475.81206778533954,11,14.06085167836557,1.8169259283516104,5.906996025927549,0.8124848972260893
7.8,1.3892351392851605e-39,193.70906508268575,484.27060642044205,11,13.971897758469845,1.7876663504619128,5.96801345849334,0.819945518225543
7.9,1.3049595113736797e-39,193.70906508268575,492.8795129858378,11,13.804119081084576,1.7501949416034213,6.116864143268848,0.842647335973809
8.0,1.2401600650221044e-39,193.70906508268575,501.6414605809166,11,13.780180829528826,1.7327533396646655,6.113852144789707,0.839059546072653
9.0,8.30111311098964e-40,197.15264233073208,557.5827965519259,11,13.4714251905372,1.5576920727121242,6.21079820904279,0.8488449236788792
10.0,6.236100588364433e-40,197.15264233073208,567.4949781593724,11,13.254850635773018,1.4122566795683833,6.244847576228808,0.851855156192743
12.0,4.413829055950403e-40,197.15264233073208,577.5833691922647,11,13.254022427699084,1.376696294010603,6.182355605562551,0.838006543749507
14.0,3.4483307037959455e-40,200.65743625058573,577.5833691922647,10,12.252280477153018,1.342945476866823,5.911273741597142,0.8082852038916825
17.0,3.3706767603517005e-40,200.65743625058573,587.851102135746,11,13.79475290266928,1.616442520697053,5.906691062140387,0.8050923624325235
17.35,9.615053430917628e-41,306.28027428603536,1089.206770318928,3,4.635455479091879,0.5231071550262191,3.429760555351589,0.55717162844925
17.45,9.410742791293418e-41,306.28027428603536,1108.5696620405274,3,4.6057380175523805,0.5195324139087585,3.458624641307315,0.5600804770605353
18.0,9.14032956103616e-41,306.28027428603536,1108.5696620405274,3,4.613779798735133,0.5258074491074679,3.458624641307315,0.5600804770605353
19.0,8.601171274217191e-41,311.72503642768623,1148.3342103544805,3,4.575736803954157,0.5271716855838054,3.5101968495579086,0.569273141947638
20.0,8.151544165444949e-41,311.72503642768623,1168.7482139956726,3,4.544186797556691,0.529784459905011,3.5526005631599,0.5751295603583795
30.0,7.198447502728322e-41,311.72503642768623,1232.1935503843301,3,4.464350781080947,0.5589549035246103,3.698523671991759,0.5975271489061248
35.0,7.90172289651942e-41,317.2665904206839,1232.1935503843301,3,4.634258587846056,0.5908854726599998,3.5468552690589936,0.5798288622030017
40.0,8.43167333168349e-41,317.2665904206839,1232.1935503843301,3,4.645618783196152,0.5997498801918715,3.5468552690589936,0.5798288622030017
50.0,9.707106943671851e-41,317.2665904206839,1232.1935503843301,3,4.659598971295268,0.6106586789284834,3.5468552690589936,0.5798288622030017
80.0,1.4142813688388035e-40,317.2665904206839,1232.1935503843301,3,4.67615431766922,0.6235768843437428,3.5468552690589936,0.5798288622030017
100.0,1.7268628012198774e-40,317.2665904206839,1232.1935503843301,3,4.680467995869013,0.626942865327863,3.5468552690589936,0.5798288622030017
