mass_gev,limit_cm2,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
0.01,1.958615274533734e-29,150.0,200.0,8,66.45944430579263,43.125412842937614,2.429147965767682,0.4888140309450458
0.02,1.1632402492537436e-36,150.0,200.0,8,21.36994941228546,7.941893033224607,2.429147965767682,0.4888140309450458
0.03,3.279114711794964e-38,150.0,207.85504646089333,9,18.394438219938795,4.886603200671304,2.723379181094673,0.5067241493237327
0.05,1.1391709867160891e-39,151.36056733252408,231.03432867945907,14,23.957837571476272,5.17629511469103,3.560164460077108,0.5901448483057631
0.07,3.876046795439734e-40,162.41396726487562,239.32156225578265,13,22.603779036820132,4.682269206129194,2.9683432010305126,0.4787880180421788
0.1,1.8528233658564956e-40,165.30120974988552,256.79848498848366,14,23.387506785201314,4.586128071612817,3.2525520597626167,0.49524918287223463
0.14,1.282385769551413e-40,165.30120974988552,266.0098824431806,15,24.049925748348034,4.497859246393502,3.7342708054194262,0.5677379459585099
0.2,1.1588174019679576e-40,165.30120974988552,270.7387555010616,16,25.267271192914045,4.55117095522942,3.7272835762603256,0.5543403529589045
0.3,1.2037111287800776e-40,165.30120974988552,270.7387555010616,16,25.03983768399941,4.373703645267537,3.7272835762603256,0.5543403529589045
0.5,1.519607958465313e-40,165.30120974988552,270.7387555010616,16,24.86618274368168,4.23819997535167,3.7272835762603256,0.5543403529589045
0.7000000000000001,1.8973421182959687e-40,165.30120974988552,270.7387555010616,16,24.79405374481341,4.181917418482701,3.7272835762603256,0.5543403529589045
1.0,2.4920131339769653e-40,165.30120974988552,270.7387555010616,16,24.74087252361238,4.140419891086349,3.7272835762603256,0.5543403529589045
2.0,4.527657855092633e-40,165.30120974988552,270.7387555010616,16,24.679832443674538,4.092790063634263,3.7272835762603256,0.5543403529589045
5.0,1.0696579624479258e-39,165.30120974988552,270.7387555010616,16,24.643687683600344,4.064586157489575,3.7272835762603256,0.5543403529589045
10.0,2.0997109983364445e-39,165.30120974988552,270.7387555010616,16,24.631731072838097,4.055256364538817,3.7272835762603256,0.5543403529589045
