s2_bin_number,start_pe,end_pe,linear_center_pe,log_center_pe
0,90.0,91.5999,90.8,90.7964
1,91.5999,93.2283,92.4141,92.4105
2,93.2283,94.8856,94.057,94.0533
3,94.8856,96.5724,95.729,95.7253
4,96.5724,98.2892,97.4308,97.427
5,98.2892,100.0365,99.1628,99.159
6,100.0365,101.8148,100.9257,100.9218
7,101.8148,103.6248,102.7198,102.7158
8,103.6248,105.467,104.5459,104.5418
9,105.467,107.3419,106.4044,106.4003
10,107.3419,109.2501,108.296,108.2918
11,109.2501,111.1922,110.2211,110.2169
12,111.1922,113.1689,112.1806,112.1762
13,113.1689,115.1807,114.1748,114.1704
14,115.1807,117.2283,116.2045,116.2
15,117.2283,119.3122,118.2703,118.2657
16,119.3122,121.4333,120.3728,120.3681
17,121.4333,123.592,122.5126,122.5079
18,123.592,125.7891,124.6905,124.6857
19,125.7891,128.0253,126.9072,126.9022
20,128.0253,130.3012,129.1632,129.1582
21,130.3012,132.6175,131.4594,131.4543
22,132.6175,134.9751,133.7963,133.7911
23,134.9751,137.3745,136.1748,136.1695
24,137.3745,139.8167,138.5956,138.5902
25,139.8167,142.3022,141.0594,141.054
26,142.3022,144.8319,143.567,143.5615
27,144.8319,147.4066,146.1192,146.1136
28,147.4066,150.027,148.7168,148.711
29,150.027,152.6941,151.3606,151.3547
30,152.6941,155.4085,154.0513,154.0453
31,155.4085,158.1712,156.7899,156.7838
32,158.1712,160.9831,159.5772,159.571
33,160.9831,163.8449,162.414,162.4077
34,163.8449,166.7575,165.3012,165.2948
35,166.7575,169.722,168.2398,168.2332
36,169.722,172.7392,171.2306,171.2239
37,172.7392,175.81,174.2746,174.2678
38,175.81,178.9353,177.3727,177.3658
39,178.9353,182.1163,180.5258,180.5188
40,182.1163,185.3538,183.735,183.7279
41,185.3538,188.6488,187.0013,186.994
42,188.6488,192.0024,190.3256,190.3182
43,192.0024,195.4157,193.7091,193.7015
44,195.4157,198.8896,197.1526,197.145
45,198.8896,202.4253,200.6574,200.6496
46,202.4253,206.0238,204.2245,204.2166
47,206.0238,209.6863,207.855,207.847
48,209.6863,213.4139,211.5501,211.5419
49,213.4139,217.2078,215.3108,215.3025
50,217.2078,221.0691,219.1384,219.1299
51,221.0691,224.999,223.0341,223.0254
52,224.999,228.9989,226.999,226.9901
53,228.9989,233.0698,231.0343,231.0254
54,233.0698,237.2131,235.1414,235.1323
55,237.2131,241.43,239.3216,239.3123
56,241.43,245.722,243.576,243.5665
57,245.722,250.0902,247.9061,247.8964
58,250.0902,254.536,252.3131,252.3033
59,254.536,259.0609,256.7985,256.7885
60,259.0609,263.6663,261.3636,261.3535
61,263.6663,268.3535,266.0099,265.9996
62,268.3535,273.124,270.7388,270.7282
63,273.124,277.9794,275.5517,275.541
64,277.9794,282.921,280.4502,280.4393
65,282.921,287.9505,285.4358,285.4247
66,287.9505,293.0694,290.51,290.4987
67,293.0694,298.2793,295.6744,295.6629
